Fecha,Rating,Titulo,Reviews
"February 7, 2021",50,Delicioso,"Comida típica con un muy buen sabor, sin duda volvería mil veces más.... la arepa de chocolo es la locura"
"March 5, 2020",50,Kylee,"So much fun!! The music was amazing ! Food and drinks were great . Very unique with a good vibe, I would definitely recommend this to be on your to do list in Bogotá!"
"March 4, 2020",50,Wow!,There are not words to accurately describe this place but it’s an experience that you can’t miss! The food was amazing as was the service and the entertainment.
"March 1, 2020",50,"Fun restaurant,Colombian food","Fun atmosphere, small plates, good for trying lots of different dishes, interesting drinks, friendly staff."
"February 29, 2020",50,¡Great Party!,"Andres Carnes de Res is a very famous restaurant with music and dancing floor. Great food, great attention, amazing party! Be aware, it is located 45 minutes away from Parque de la 93."
"February 23, 2020",50,Fabulous meal in this fun place,We had a lovely evening in this restaurant - a great fun atmosphere and very good food. Would definitely recommend this and go back for a fun evening out.
"February 16, 2020",40,Doctor Luis,Noisy restaurant informal ambience iconic place in Bogota . Meats exelent . Cocktails very diverse and original No wine list. A must to complete Columbia experience
"February 12, 2020",50,EXCELENT!,"An amazing restaurant where you can experience Colombian food. Fantastic ambiance and, for me , the highlight is decoration! You must visit if you visit Bogota!"
"February 11, 2020",50,Amazing restaurant,It is a 5 floors restaurant with really great typical Colombian food! The staff is young and efficient! Definitely a place to go back!
"February 11, 2020",50,Fun and delicious,Good food and great atmosphere. All of the staff also spoke English and the menu had translations when we were there which was a nice bonus.
"February 3, 2020",40,fun place!,Very fun and safe area to explore. We had our server just bring us her favorite dishes and it was a wonderful meal!
"January 26, 2020",40,Amazing Meal,"Stopped here first night for a great meal, great place to visit abc great food to share. Very lively with lots of celebrations."
"January 16, 2020",40,Cool restaurant,Very nice restaurant with different floors. It is very interesting. Food is good and so is the service.
"January 12, 2020",50,Fun,"We had steak, and it was delicious. The chocolate cake was supreme. The ambience incredable. The music superrr. We had an awesome time. You have to go if you go to Bogota."
"January 7, 2020",50,Loved it!!!,"We visited the one in Chia, some 45 minutes away from Bogota but it was worthy. The food was very good as well as the ambience. A must visit place while in the area. Natalia was our superb waitress."
"January 1, 2020",50,"Excellent Service, Food and Drinks, and Very Inexpensive","My wife and I spent an evening drinking, dinning and dancing at the Infierno level. At the end of the night the bill was the equivalent of about $75.00. The facilities were clean, and security is paramount for them. They made us feel at home."
"December 31, 2019",50,Excellent,"The environment is amazing. Excellent food, rather slow service. This place is a must,an excellent experience"
"December 29, 2019",50,We love Andres Carne De Res!,"We love Andres Carne De Res! Entertainment, food, drinks all wrapped into one experience. Prices are fair and the food is delicious!"
