Fecha,Rating,Titulo,Reviews
"March 6, 2020",10,Me salió una cucaracha en,Me salió una cucaracha en un tamal! Absténganse de ir a este podrido restaurante donde el dueño la vale!!
"February 1, 2020",50,Excelente restaurante,"Es un restaurante pequeño con 2 opciones de comida, ambas riquísimas. Súper recomendable y excelente atención."
"January 23, 2020",40,La Puerta Falsa,Comida tradicional. Sabor único. Lugar muy pequeño. Ubicación en el centro histórico. Menú específico y corto
"November 19, 2019",40,Comida colombiana - lugar pequeño,"Buen sabor de la comida (ajíaco), bastante bueno. Lugar pequeño con un poco de ruido cuando está lleno!"
"November 5, 2019",50,Bueno,Buena comida y ambiente. Ideal para ir en familia o en pareja. Buenos platos y opciones para probar.
"August 17, 2019",50,Ricos,"Excelente, los mejores tamales que he probado hasta el momento, sin duda volvería Ya que la atención fue un diez"
"July 7, 2019",50,Exquisita experiencia.,Vale la pena pasar a comer sus especialidades (ajiaco y tamal) y desgustar sus deliciosos jugos de fruta.
"July 4, 2019",30,NORMAL,"Lo mejor su historia, de resto todo muy normal, lo mismo té lo puedes comer en cualquier panadería de Bogota"
"May 21, 2019",40,Restaurante típico,"Ubicado en pleno centro histórico, comida típica, también en la entrada venden productos regionales muy tradicionales. Buena atención, buena comida."
"February 14, 2019",50,Excelente,Muy buen lugar para probar comida tradicional. Nosotros probamos el ajiaco y el tamal y estaban deliciosos.
"February 9, 2019",40,Para repetir,"Sitio para llevar a los amigos extranjeros para que prueben las delicias de la cocina Colombiana,los tamales son los campeones,"
"November 7, 2018",50,Ajacio,"Delicioso el Ajacio, buena experiencia de comida colombiana! La atención es buena y el precio regular."
"September 12, 2018",40,Es bueno,"El tamal es muy rico, los demás acompañamientos son buenos. El lugar es incómodo pero vale la pena conocerlo."
"September 2, 2018",50,Tradicional y delicioso,La sencillez y el buen sabor le hace un destino obligatorio para saborear la historia del centro histórico
"August 21, 2018",50,Deliciosa comida,Recomendado el plato de ajiaco.. los dulces.. una delicia!!! Sin duda un lugar para visitar en Bogotá!!
"June 24, 2018",40,Muy interesante,"Creo que es una visita obligada en Bogotá, Platos típicos, abundante y buena relación precio-calidad. Lugar con arquitectura histórica."
"June 16, 2018",30,Tradicional,Es un sitio que por tradición genera interés en visitarlo. Comida normal de la cocina santafereña de los abuelos.
"February 23, 2018",40,Comida típica,Excelente para probar platos tipicos económicos y de.manera informal aunque pequeño el local pero bien ubicado
"December 20, 2017",50,El mejor ajiaco,"Mi visita a Bogotá quedó perfecta con el mejor ajiaco que he probado, sabor, cantidad, presentación, precio. Todo maravilloso"
"October 14, 2017",50,Desayuno,"Excelente !!!!! Historia, tradicion, calidad, imperdible ..... buena comida y servicio lo recomiendo sin lugar a dudas"
"August 26, 2017",50,Lugar típico,Un ambiente típico para desayunar platos típicos de la Ciudad! Pequeño lugar pero clásico! Los sabores buenos
"September 12, 2017",20,Un engaño en mis narices,"Si bien es un restaurante de tradición y al cuál quería ir mucho, este fin de semana que estuve en Bogotá fui. Primeramente, al llegar había una fila muy larga para poder tener una mesa. Mientras esperaba en la fila me di cuenta que traían los Ajiacos servidos de otro lugar y no salían de la cocina del restaurante. Le pregunté al dueño y me dijo que los hacían en una cocina que tienen cerca. Me pareció muy raro, además un par de minutos después vi como el dueño del restaurante dónde hacían los ajiacos le traía al dueño de la puerta falsa unas facturas para que las firmara por todos los ajiacos que le había vendido. Resulta que los ajiacos que en la puerta falsa venden a 28 mil o 26 mil pesos son hechos por un restaurante que se llama EL MEJOR AJIACO DEL MUNDO y queda a un par de metros. Decidí irme a ese ultimo restaurante, pagué por el mismo ajiaco 22 mil pesos y no tuve que esperar, ni hacer fila, y el servicio fue muy eficiente."
"September 10, 2017",50,Nada más típico en Bogotá,"Tamal con chocolate y jugo de naranja, vale la pena la fila y la espera, pues el sitio es pequeño, creo podrían ser más efectivos, pero en fin que sitio tan agradable para visitar, se puede desayunar almorzar o cenar o simplemente el algo. Creo que es el restaurante más antiguo de Colombia, casa fundada en 1816. El Segundo más antiguo que he visitado."
"September 9, 2017",50,Bacado de color y sabor a historia,"Era una tarde lánguida y triste, 4p.m. de esas muy características de los años 40 ,fría y gris, donde si algo levanta el ánimo y siente, uno un abrazo del calor de mil manos es allí en la puerta falsa, entramos pudimos tener puestos privilegiados en el mezanine, cosa curiosa es que no tiene ventanas, el calor de la cocina sube creando una atmósfera cálida mezclada de mil olores enbriagantes, el de la aguadepanela, que muy coqueta se dejaba ver en su olleta lustroza al lado de su compañero el chocolate los dos burbujeaban como si conversaran diciéndose yo seré el elegido, sin saber que el protagonista era el tamal que muy bien Guardado en una olla inmensa oculto estaba, era increíble que en un lugar tan pequeño se encontrarán tan grandes y suculentos productos típicos de santa fe de Bogotá este es el sitio, nos atendieron con el nivel de los grandes restaurantes meseros bien pulcros en su presentación, mesas de madera curtida, un espejo que nos mostraba hasta en interior detrás del mostrador, no caben más de 25 persona, pero el sabor del tamal, es algo que los dueños sabían y entienden desde hace más de 100 años que es lo que los comensales esperábamos, ese recorrido desde la primera papila bajando por la garganta llegando al estómago era un espectáculo de sensaciones, nadie habla, se oye como a medida que vamos terminando los pocillos y platos cambian de lugar como si fuera una ruleta, toma lugar el chocolate con la aguadepanela, pero no vienen solos, aparece el queso con la almojábana y el pan, con su inseparable mantequilla hacer de las suyas en nuestros sensibles cuerpos que al terminar ni se quisieron mover, por un instante pensé, de aquí no me voy, paso un tiempo el lugar no quería que nos fuéramos nosotros menos pero al ver a otras persona en la puerta no pudimos ser egoístas decidimos ceder nuestro puestos ellos también tenían derecho a disfrutar este muestro y de todos de tan gran experiencia gastronómica. Los postres tímidos a la salida nos gritaron los bocadillos brincaban de emocion, las cocadas menos bullosas, coloradas se veían, era tanto el despelote de los postres que dijimos uno de cada uno para llevar así fue nuestra visita a la PUERTA FALSA !!!!!!!"
"August 30, 2017",30,"Tipico, Solo eso.","Fuimos a media tarde. Probamos las cosas típicas que ofrece, entre ello tamales. Pero nada fuera de lo común. El lugar es muy chico y siempre esta lleno. Fuimos al sector de arriba. Hacia mucho calor."
"August 29, 2017",40,Comida Tipica Colombiana,"Un sitio de gran tradición donde puedes degustar los platos tipicos como el tamal y el ajiaco entre otros. Es muy concurrido,nosotros lo visitamos a la hora del almuerzo y en ocasiones debes esperar turno dado que el sitio en bastante pequeño. A pesar de esa limitación la atencion es rapida y la comida excelente, les recomiendo aprovechar cuando esten por el centro de Bogota y llegarse hasta la puerta falsa, se ubica en la calle aledaña a al Catedral Primada."
"August 28, 2017",40,Un clásico bogotano,"Uno de esos lugares que hay que ir a visitar cuando se hace turismo en el centro histórico de Bogotá, y particularmente a probar un buen tamal y un chocolate con queso, clásicos de toda la vida bogotana. Hay otros parecidos en la zona, pero este es el histórico."
